,PassengerId,Pclass,Name,Sex,Age,Title,Alias,SibSp,Parch,Ticket,Fam,Fare,Cabin,Cabin_Floor,Cabin_Nb,Ticket_Type,Embarked
0,1,3,"Braund, Mr. Owen Harris",male,22.0,Mr,0,1,0,A/5 21171,1,7.25,U,U,0,A/5,S
1,2,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,Mrs,1,1,0,PC 17599,1,71.2833,C85,C,85,PC,C
2,3,3,"Heikkinen, Miss. Laina",female,26.0,Miss,0,0,0,STON/O2. 3101282,0,7.925,U,U,0,STON/O2.,S
3,4,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,Mrs,1,1,0,113803,1,53.1,C123,C,123,113803,S
4,5,3,"Allen, Mr. William Henry",male,35.0,Mr,0,0,0,373450,0,8.05,U,U,0,373450,S
5,6,3,"Moran, Mr. James",male,29.8811376673,Mr,0,0,0,330877,0,8.4583,U,U,0,330877,Q
6,7,1,"McCarthy, Mr. Timothy J",male,54.0,Mr,0,0,0,17463,0,51.8625,E46,E,46,17463,S
7,8,3,"Palsson, Master. Gosta Leonard",male,2.0,Master,0,3,1,349909,4,21.075,U,U,0,349909,S
8,9,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,Mrs,1,0,2,347742,2,11.1333,U,U,0,347742,S
9,10,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,Mrs,1,1,0,237736,1,30.0708,U,U,0,237736,C
10,11,3,"Sandstrom, Miss. Marguerite Rut",female,4.0,Miss,0,1,1,PP 9549,2,16.7,G6,G,6,PP,S
11,12,1,"Bonnell, Miss. Elizabeth",female,58.0,Miss,0,0,0,113783,0,26.55,C103,C,103,113783,S
12,13,3,"Saundercock, Mr. William Henry",male,20.0,Mr,0,0,0,A/5. 2151,0,8.05,U,U,0,A/5.,S
13,14,3,"Andersson, Mr. Anders Johan",male,39.0,Mr,0,1,5,347082,6,31.275,U,U,0,347082,S
14,15,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,Miss,0,0,0,350406,0,7.8542,U,U,0,350406,S
15,16,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,Mrs,1,0,0,248706,0,16.0,U,U,0,248706,S
16,17,3,"Rice, Master. Eugene",male,2.0,Master,0,4,1,382652,5,29.125,U,U,0,382652,Q
17,18,2,"Williams, Mr. Charles Eugene",male,29.8811376673,Mr,0,0,0,244373,0,13.0,U,U,0,244373,S
18,19,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,Mrs,1,1,0,345763,1,18.0,U,U,0,345763,S
19,20,3,"Masselmani, Mrs. Fatima",female,29.8811376673,Mrs,0,0,0,2649,0,7.225,U,U,0,2649,C
20,21,2,"Fynney, Mr. Joseph J",male,35.0,Mr,0,0,0,239865,0,26.0,U,U,0,239865,S
21,22,2,"Beesley, Mr. Lawrence",male,34.0,Mr,0,0,0,248698,0,13.0,D56,D,56,248698,S
22,23,3,"McGowan, Miss. Anna ""Annie""",female,15.0,Miss,1,0,0,330923,0,8.0292,U,U,0,330923,Q
23,24,1,"Sloper, Mr. William Thompson",male,28.0,Mr,0,0,0,113788,0,35.5,A6,A,6,113788,S
24,25,3,"Palsson, Miss. Torborg Danira",female,8.0,Miss,0,3,1,349909,4,21.075,U,U,0,349909,S
25,26,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,Mrs,1,1,5,347077,6,31.3875,U,U,0,347077,S
26,27,3,"Emir, Mr. Farred Chehab",male,29.8811376673,Mr,0,0,0,2631,0,7.225,U,U,0,2631,C
27,28,1,"Fortune, Mr. Charles Alexander",male,19.0,Mr,0,3,2,19950,5,263.0,C23 C25 C27,C,23,19950,S
28,29,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,29.8811376673,Miss,1,0,0,330959,0,7.8792,U,U,0,330959,Q
29,30,3,"Todoroff, Mr. Lalio",male,29.8811376673,Mr,0,0,0,349216,0,7.8958,U,U,0,349216,S
30,31,1,"Uruchurtu, Don. Manuel E",male,40.0,Don,0,0,0,PC 17601,0,27.7208,U,U,0,PC,C
31,32,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,29.8811376673,Mrs,1,1,0,PC 17569,1,146.5208,B78,B,78,PC,C
32,33,3,"Glynn, Miss. Mary Agatha",female,29.8811376673,Miss,0,0,0,335677,0,7.75,U,U,0,335677,Q
33,34,2,"Wheadon, Mr. Edward H",male,66.0,Mr,0,0,0,C.A. 24579,0,10.5,U,U,0,C.A.,S
34,35,1,"Meyer, Mr. Edgar Joseph",male,28.0,Mr,0,1,0,PC 17604,1,82.1708,U,U,0,PC,C
35,36,1,"Holverson, Mr. Alexander Oskar",male,42.0,Mr,0,1,0,113789,1,52.0,U,U,0,113789,S
36,37,3,"Mamee, Mr. Hanna",male,29.8811376673,Mr,0,0,0,2677,0,7.2292,U,U,0,2677,C
37,38,3,"Cann, Mr. Ernest Charles",male,21.0,Mr,0,0,0,A./5. 2152,0,8.05,U,U,0,A./5.,S
38,39,3,"Vander Planke, Miss. Augusta Maria",female,18.0,Miss,0,2,0,345764,2,18.0,U,U,0,345764,S
39,40,3,"Nicola-Yarred, Miss. Jamila",female,14.0,Miss,0,1,0,2651,1,11.2417,U,U,0,2651,C
40,41,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,Mrs,1,1,0,7546,1,9.475,U,U,0,7546,S
41,42,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,Mrs,1,1,0,11668,1,21.0,U,U,0,11668,S
42,43,3,"Kraeff, Mr. Theodor",male,29.8811376673,Mr,0,0,0,349253,0,7.8958,U,U,0,349253,C
43,44,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,Miss,0,1,2,SC/Paris 2123,3,41.5792,U,U,0,SC/Paris,C
44,45,3,"Devaney, Miss. Margaret Delia",female,19.0,Miss,0,0,0,330958,0,7.8792,U,U,0,330958,Q
45,46,3,"Rogers, Mr. William John",male,29.8811376673,Mr,0,0,0,S.C./A.4. 23567,0,8.05,U,U,0,S.C./A.4.,S
46,47,3,"Lennon, Mr. Denis",male,29.8811376673,Mr,0,1,0,370371,1,15.5,U,U,0,370371,Q
47,48,3,"O'Driscoll, Miss. Bridget",female,29.8811376673,Miss,0,0,0,14311,0,7.75,U,U,0,14311,Q
48,49,3,"Samaan, Mr. Youssef",male,29.8811376673,Mr,0,2,0,2662,2,21.6792,U,U,0,2662,C
49,50,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,Mrs,1,1,0,349237,1,17.8,U,U,0,349237,S
50,51,3,"Panula, Master. Juha Niilo",male,7.0,Master,0,4,1,3101295,5,39.6875,U,U,0,3101295,S
51,52,3,"Nosworthy, Mr. Richard Cater",male,21.0,Mr,0,0,0,A/4. 39886,0,7.8,U,U,0,A/4.,S
52,53,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,Mrs,1,1,0,PC 17572,1,76.7292,D33,D,33,PC,C
53,54,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,Mrs,1,1,0,2926,1,26.0,U,U,0,2926,S
54,55,1,"Ostby, Mr. Engelhart Cornelius",male,65.0,Mr,0,0,1,113509,1,61.9792,B30,B,30,113509,C
55,56,1,"Woolner, Mr. Hugh",male,29.8811376673,Mr,0,0,0,19947,0,35.5,C52,C,52,19947,S
56,57,2,"Rugg, Miss. Emily",female,21.0,Miss,0,0,0,C.A. 31026,0,10.5,U,U,0,C.A.,S
57,58,3,"Novel, Mr. Mansouer",male,28.5,Mr,0,0,0,2697,0,7.2292,U,U,0,2697,C
58,59,2,"West, Miss. Constance Mirium",female,5.0,Miss,0,1,2,C.A. 34651,3,27.75,U,U,0,C.A.,S
59,60,3,"Goodwin, Master. William Frederick",male,11.0,Master,0,5,2,CA 2144,7,46.9,U,U,0,CA,S
60,61,3,"Sirayanian, Mr. Orsen",male,22.0,Mr,0,0,0,2669,0,7.2292,U,U,0,2669,C
61,62,1,"Icard, Miss. Amelie",female,38.0,Miss,0,0,0,113572,0,80.0,B28,B,28,113572,
62,63,1,"Harris, Mr. Henry Birkhardt",male,45.0,Mr,0,1,0,36973,1,83.475,C83,C,83,36973,S
63,64,3,"Skoog, Master. Harald",male,4.0,Master,0,3,2,347088,5,27.9,U,U,0,347088,S
64,65,1,"Stewart, Mr. Albert A",male,29.8811376673,Mr,0,0,0,PC 17605,0,27.7208,U,U,0,PC,C
65,66,3,"Moubarek, Master. Gerios",male,29.8811376673,Master,0,1,1,2661,2,15.2458,U,U,0,2661,C
66,67,2,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,Mrs,1,0,0,C.A. 29395,0,10.5,F33,F,33,C.A.,S
67,68,3,"Crease, Mr. Ernest James",male,19.0,Mr,0,0,0,S.P. 3464,0,8.1583,U,U,0,S.P.,S
68,69,3,"Andersson, Miss. Erna Alexandra",female,17.0,Miss,0,4,2,3101281,6,7.925,U,U,0,3101281,S
